romaji,katakana
n,ン
kya,キャ
kyu,キュ
kyo,キョ
nya,ニャ
nyu,ニュ
nyo,ニョ
sha,シャ
shu,シュ
sho,ショ
cha,チャ
chu,チュ
cho,チョ
hya,ヒャ
hyu,ヒュ
hyo,ヒョ
mya,ミャ
myu,ミュ
myo,ミョ
rya,リャ
ryu,リュ
ryo,リョ
gya,ギャ
gyu,ギュ
gyo,ギョ
bya,ビャ
byu,ビュ
byo,ビョ
pya,ピャ
pyu,ピュ
pyo,ピョ
ja,ジャ
ju,ジュ
jo,ジョ
tsa,ツァ
tsi,ツィ
tse,ツェ
tso,ツォ
che,チェ
she,シェ
je,ジェ
ti,ティ
di,ディ
shi,シ
chi,チ
tsu,ツ
dzu,ヅ
dji,ヂ
ba,バ
da,ダ
ga,ガ
ha,ハ
ka,カ
ma,マ
na,ナ
pa,パ
ra,ラ
sa,サ
ta,タ
wa,ワ
ya,ヤ
za,ザ
a,ア
be,ベ
de,デ
ge,ゲ
he,ヘ
ke,ケ
me,メ
ne,ネ
pe,ペ
re,レ
se,セ
te,テ
we,ヱ
ze,ゼ
e,エ
bi,ビ
gi,ギ
hi,ヒ
ki,キ
mi,ミ
ni,ニ
pi,ピ
ri,リ
wi,ヰ
ji,ジ
i,イ
bo,ボ
do,ド
go,ゴ
ho,ホ
ko,コ
mo,モ
no,ノ
po,ポ
ro,ロ
so,ソ
to,ト
wo,ヲ
yo,ヨ
zo,ゾ
o,オ
bu,ブ
gu,グ
fu,フ
ku,ク
mu,ム
nu,ヌ
pu,プ
ru,ル
su,ス
yu,ユ
zu,ズ
u,ウ
kk,ッ(k)
ss,ッ(s)
tt,ッ(t)
nn,ッ(n)
mm,ッ(m)
rr,ッ(r)
gg,ッ(g)
dd,ッ(d)
bb,ッ(b)
pp,ッ(p)
ff,ッ(f)
jj,ッ(j)
oo,oー
uu,uー
aa,aー
ii,iー
ee,eー
